3:31:17,-0.91,-0.36,0.22
3:31:17,-0.90,-0.35,0.24
3:31:17,-0.90,-0.35,0.23
3:31:17,-0.90,-0.35,0.24
3:31:22,-0.81,-0.68,-0.22
3:31:22,-0.68,-0.62,-0.08
3:31:22,-0.65,-0.79,-0.15
3:31:22,-0.65,-0.74,-0.11
3:31:22,-0.80,-0.60,-0.24
3:31:22,-0.81,-0.63,-0.28
3:31:23,-0.66,-0.58,-0.27
3:31:23,-0.80,-0.60,-0.19
3:31:23,-0.67,-0.73,-0.75
3:31:23,-0.90,-0.56,-0.29
3:31:23,-0.77,-0.61,-0.24
3:31:23,-0.76,-0.64,-0.17
3:31:23,-0.70,-0.68,-0.31
3:31:23,-0.74,-0.71,-0.20
3:31:23,-0.52,-0.91,-0.17
3:31:23,-0.69,-0.82,-0.08
3:31:24,-0.73,-0.58,-0.19
3:31:24,-0.61,-0.96,-0.21
3:31:24,-0.61,-0.70,-0.26
4:39:48,-0.74,0.42,-0.25
4:39:49,-0.58,0.63,-0.22
4:39:49,-0.77,0.55,-0.24
4:39:49,-0.75,0.56,-0.21
4:39:49,-0.73,0.54,-0.20
4:39:49,-0.75,0.56,-0.22
4:39:49,-0.72,0.50,-0.25
4:39:49,-0.78,0.56,-0.25
4:39:49,-0.75,0.55,-0.22
4:39:49,-0.73,0.60,-0.16
4:39:49,-0.74,0.61,-0.17
4:39:50,-0.71,0.64,-0.18
4:39:50,-0.72,0.60,-0.16
4:39:50,-0.74,0.62,-0.20
4:39:50,-0.73,0.62,-0.17
4:39:50,-0.72,0.62,-0.17
4:39:50,-0.70,0.61,-0.15
4:39:50,-0.74,0.63,-0.09
4:39:50,-0.71,0.63,-0.14
4:39:52,-0.27,0.59,0.67
4:39:52,-0.31,0.59,0.71
4:39:52,-0.31,0.59,0.67
4:39:53,-0.32,0.58,0.69
4:39:53,-0.33,0.65,0.65
4:39:53,-0.33,0.65,0.66
4:39:53,-0.34,0.64,0.66
4:39:53,-0.33,0.65,0.64
4:39:53,-0.36,0.67,0.61
4:39:53,-0.33,0.66,0.63
4:39:53,-0.37,0.66,0.61
4:39:53,-0.34,0.66,0.62
4:39:53,-0.34,0.66,0.63
4:39:54,-0.35,0.66,0.63
4:39:54,-0.35,0.66,0.62
4:39:54,-0.35,0.67,0.63
4:39:54,-0.35,0.71,0.63
4:39:54,-0.52,0.51,0.64
4:39:54,-0.12,0.69,0.66
4:40:4,-0.89,0.35,-0.15
4:40:5,-0.89,0.36,-0.16
4:40:5,-0.89,0.35,-0.15
4:40:5,-0.88,0.36,-0.16
4:40:5,-0.90,0.35,-0.15
4:40:5,-0.88,0.35,-0.16
4:40:5,-0.88,0.36,-0.16
4:40:5,-0.89,0.35,-0.16
4:40:5,-0.89,0.35,-0.16
4:40:5,-0.90,0.35,-0.15
4:40:5,-0.88,0.34,-0.17
4:40:6,-0.89,0.35,-0.16
4:40:6,-0.89,0.34,-0.17
4:40:6,-0.89,0.34,-0.16
4:40:6,-0.90,0.35,-0.16
4:40:6,-0.91,0.33,-0.15
4:40:6,-0.90,0.32,-0.15
4:40:6,-0.92,0.33,-0.16
4:40:6,-0.90,0.29,-0.13
4:40:11,-0.82,0.14,-0.52
4:40:11,-0.81,0.15,-0.51
4:40:12,-0.80,0.13,-0.50
4:40:12,-0.81,0.16,-0.51
4:40:12,-0.80,0.19,-0.52
4:40:12,-0.81,0.21,-0.52
4:40:12,-0.79,0.22,-0.51
4:40:12,-0.79,0.21,-0.50
4:40:12,-0.81,0.23,-0.50
4:40:12,-0.80,0.21,-0.51
4:40:12,-0.79,0.25,-0.48
4:40:12,-0.79,0.23,-0.48
4:40:13,-0.81,0.27,-0.48
4:40:13,-0.80,0.27,-0.47
4:40:13,-0.80,0.27,-0.47
4:40:13,-0.80,0.28,-0.47
4:40:13,-0.81,0.29,-0.47
4:40:13,-0.80,0.30,-0.46
4:40:13,-0.78,0.28,-0.49
4:40:17,-0.86,0.09,-0.37
4:40:17,-0.88,-0.08,-0.37
4:40:17,-0.93,-0.04,-0.36
4:40:17,-0.92,-0.06,-0.31
4:40:17,-0.95,-0.10,-0.31
4:40:17,-0.92,-0.21,-0.35
4:40:17,-0.94,-0.26,-0.75
4:40:17,-0.92,-0.31,-0.28
4:40:17,-0.92,0.01,-0.40
4:40:17,-0.88,-0.31,-0.23
4:40:18,-0.94,-0.33,-0.20
4:40:18,-0.87,-0.33,-0.25
4:40:18,-0.90,-0.20,-0.28
4:40:18,-0.89,-0.23,-0.29
4:40:18,-0.81,-0.33,-0.27
4:40:18,-0.93,-0.17,-0.25
4:40:18,-1.07,-0.47,-0.25
4:40:18,-0.84,-0.17,-0.29
4:40:18,-0.91,-0.25,-0.28
5:37:28,-0.69,0.24,-0.63
5:37:28,-0.69,0.21,-0.64
5:37:28,-0.69,0.25,-0.66
5:37:28,-0.64,0.14,-0.73
5:37:29,-0.62,0.03,-0.80
5:37:29,-0.68,0.02,-0.66
5:37:29,-0.67,0.08,-0.71
5:37:29,-0.71,0.12,-0.66
5:37:29,-0.68,0.11,-0.67
5:37:29,-0.69,0.15,-0.66
5:37:29,-0.69,0.15,-0.67
5:37:29,-0.68,0.14,-0.65
5:37:29,-0.74,0.22,-0.67
5:37:29,-0.74,0.28,-0.57
5:37:30,-0.67,-0.00,-0.61
5:37:30,-0.73,0.27,-0.61
5:37:30,-0.73,0.23,-0.61
5:37:30,-0.72,0.24,-0.60
5:37:30,-0.73,0.24,-0.59
5:37:33,-0.18,0.07,-0.91
5:37:33,-0.23,0.15,-0.93
5:37:33,-0.17,0.17,-0.99
5:37:33,-0.10,0.40,-0.96
5:37:33,-0.06,0.40,-0.88
5:37:33,-0.02,0.38,-0.84
5:37:33,-0.04,0.35,-0.84
5:37:34,-0.29,0.31,-0.84
5:37:34,-0.48,-0.14,-0.80
5:37:34,-1.02,-0.20,-0.57
5:37:34,-0.69,-0.01,-0.69
5:37:34,-0.65,-0.03,-0.68
5:37:34,-0.78,-0.07,-0.63
5:37:34,-0.73,-0.06,-0.65
5:37:34,-0.70,-0.10,-0.58
5:37:34,-0.28,-0.09,-0.86
5:37:34,-0.54,0.16,-1.34
5:37:35,-0.46,0.17,-0.64
5:37:35,-0.69,-0.04,-0.66
5:37:35,-0.69,-0.07,-0.71
5:37:35,-0.69,-0.04,-0.68
5:37:35,-0.70,-0.10,-0.66
5:37:35,-0.67,-0.09,-0.74
5:37:35,-0.67,-0.17,-0.69
5:37:35,-0.71,-0.23,-0.64
5:37:35,-0.77,-0.18,-0.62
5:37:35,-0.65,-0.27,-0.63
5:37:36,-0.89,-0.39,-0.78
5:37:36,-0.66,-0.17,-0.73
5:37:36,-0.54,-0.05,-0.74
5:37:36,-0.70,-0.23,-0.69
5:37:36,-0.69,-0.31,-0.66
5:37:36,-0.71,-0.29,-0.65
5:37:36,-0.74,-0.41,-0.74
5:37:36,-0.76,-0.30,-0.61
5:37:36,-0.68,-0.31,-0.56
5:37:36,-0.69,-0.31,-0.65
6:5:24,-0.42,-0.30,-0.82
6:5:24,-0.48,-0.29,-0.85
6:5:24,-0.44,-0.39,-0.79
6:5:24,-0.45,-0.33,-0.85
6:5:24,-0.41,-0.42,-0.77
6:5:24,-0.52,-0.20,-0.82
6:5:24,-0.53,0.14,-0.78
6:5:24,-0.99,1.55,-0.56
6:5:24,-0.32,0.40,-0.59
6:5:24,-0.16,0.72,-0.78
6:5:25,0.38,0.94,-0.52
6:5:25,0.14,0.65,-0.77
6:5:25,0.10,0.64,-0.65
6:5:25,0.19,0.73,-0.62
6:5:25,0.18,0.70,-0.63
6:5:25,0.19,0.72,-0.60
6:5:25,0.20,0.72,-0.63
6:5:25,0.19,0.73,-0.61
6:5:25,0.18,0.73,-0.61
6:5:25,0.19,0.73,-0.61
6:5:26,0.18,0.73,-0.61
6:5:26,0.18,0.72,-0.61
6:5:26,0.18,0.73,-0.60
6:5:26,0.20,0.73,-0.61
6:5:26,0.21,0.73,-0.63
6:5:26,0.19,0.73,-0.62
6:5:26,0.19,0.74,-0.61
6:5:26,0.19,0.73,-0.62
6:5:26,0.19,0.72,-0.61
6:5:33,0.82,0.54,-0.05
6:5:33,0.82,0.27,-0.04
6:5:33,0.95,0.77,-0.27
6:5:33,0.27,0.12,0.00
6:5:34,0.41,0.48,-0.64
6:5:34,0.52,0.50,-0.64
6:5:34,0.51,0.58,-0.67
6:5:34,0.49,0.54,-0.66
6:5:34,0.46,0.57,-0.69
6:5:34,0.45,0.58,-0.66
6:5:34,0.52,0.60,-0.65
6:5:34,0.34,0.52,-0.71
6:5:34,0.37,0.62,-0.68
6:5:34,0.26,0.60,-0.69
6:5:35,0.02,0.78,-0.52
6:5:35,0.01,0.87,-0.50
6:5:35,0.02,0.83,-0.49
6:5:35,-0.02,0.85,-0.47
6:5:35,-0.00,0.85,-0.48
6:5:35,-0.01,0.85,-0.48
6:5:35,0.00,0.84,-0.50
6:5:35,0.04,0.84,-0.45
6:5:35,0.15,0.86,-0.43
6:5:35,0.08,0.85,-0.46
6:5:36,0.12,0.84,-0.43
6:5:36,0.08,0.86,-0.44
6:5:36,0.11,0.86,-0.43
6:5:36,0.10,0.87,-0.44
6:5:36,0.11,0.84,-0.45
6:5:36,0.09,0.87,-0.43
6:5:36,0.09,0.89,-0.43
6:5:36,0.09,0.86,-0.44
6:5:36,0.14,0.84,-0.41
6:5:36,0.06,0.85,-0.46
6:5:39,-0.27,0.60,-0.56
6:5:39,-0.39,0.69,-0.63
6:5:39,-0.28,0.67,-0.61
6:5:39,-0.29,0.69,-0.63
6:5:39,-0.27,0.65,-0.60
6:5:39,-0.28,0.70,-0.55
6:5:39,-0.33,0.71,-0.50
6:5:39,-0.30,0.62,-0.52
6:5:39,-0.37,0.72,-0.65
6:5:39,-0.44,0.60,-0.63
6:5:40,-0.51,0.47,-0.62
6:5:40,-0.48,0.51,-0.65
6:5:40,-0.51,0.52,-0.65
6:5:40,-0.49,0.59,-0.67
6:5:40,-0.39,0.69,-0.69
6:5:40,-0.54,0.70,-0.74
6:5:40,-0.63,0.39,-0.59
6:5:40,-0.23,0.50,-0.73
6:5:40,-0.19,0.57,-0.76
6:25:17,-0.49,0.76,-0.32
6:25:17,-0.48,0.77,-0.33
6:25:17,-0.51,0.76,-0.32
6:25:17,-0.50,0.76,-0.32
6:25:17,-0.52,0.76,-0.33
6:25:17,-0.50,0.76,-0.33
6:25:17,-0.49,0.77,-0.32
6:25:17,-0.48,0.77,-0.31
6:25:18,-0.48,0.77,-0.31
6:25:18,-0.48,0.77,-0.31
6:25:18,-0.48,0.77,-0.32
6:25:18,-0.48,0.77,-0.32
6:25:18,-0.49,0.78,-0.34
6:25:18,-0.47,0.78,-0.32
6:25:18,-0.47,0.76,-0.32
6:25:18,-0.45,0.79,-0.33
6:25:18,-0.47,0.76,-0.35
6:25:18,-0.47,0.78,-0.33
6:25:19,-0.49,0.76,-0.35
6:25:21,-0.86,0.14,-0.49
6:25:21,-0.85,0.12,-0.53
6:25:21,-0.76,0.18,-0.57
6:25:21,-0.72,0.23,-0.67
6:25:21,-0.80,0.17,-0.50
6:25:21,-0.65,0.49,-0.78
6:25:21,-0.59,0.17,-0.50
6:25:21,-0.73,-0.13,-0.42
6:25:21,-0.61,0.18,-0.85
6:25:22,-0.64,0.10,-0.82
6:25:22,-0.66,0.16,-0.71
6:25:22,-0.79,-0.15,-0.57
6:25:22,-0.79,0.06,-0.65
6:25:22,-0.84,0.22,-0.67
6:25:22,-0.79,0.03,-0.57
6:25:22,-0.79,0.05,-0.57
6:25:22,-0.79,0.03,-0.57
6:25:22,-0.79,0.04,-0.58
6:25:22,-0.78,0.05,-0.58
6:25:23,-0.80,0.05,-0.58
